commonName,scientificName,image1,image2,deck,source
Bottle palm,Hyophorbe lagenicaulis,https://upload.wikimedia.org/wikipedia/commons/3/3f/Hyophorbe_lagenicaulis.jpg,,,,
Lady Palm,Rhapis excelsa,https://upload.wikimedia.org/wikipedia/commons/d/d7/Rhapis_excelsa3.jpg,,,,
